review,sentiment,cluster,theme,bank
"It's very difficult to use the user, app,ones dawenload the user can't operate well , no one can help me,",negative,1,Mixed App Performance,BOA
Poor application. It turned off by itself,negative,1,Mixed App Performance,BOA
Allowed,neutral,1,Mixed App Performance,BOA
It usually crashes and the reason it gives is a problem on internet connection although the internet was fine.,negative,1,Mixed App Performance,BOA
we want international mobile banking,positive,1,Mixed App Performance,BOA
"screenshot isn't working, Please modify it",negative,1,Mixed App Performance,BOA
Naziriet measho 89160437,neutral,1,Mixed App Performance,BOA
Ahmed Mohammed husen,neutral,1,Mixed App Performance,BOA
Is not working both this one and apollo did u make it better pls am gonne stop using this bank because of the mobile banking,positive,1,Mixed App Performance,BOA
I have experiance,neutral,1,Mixed App Performance,BOA
The App is not working on Android 9.1 at all. It shows an error notification and forcefully closes the app. Must be fixed ASAP.,negative,1,Mixed App Performance,BOA
Crashes very frequently is not stable overall need improvement such a huge bank needs a better app than the current one,positive,1,Mixed App Performance,BOA
ርይርፍ,neutral,1,Mixed App Performance,BOA
The previous application is much better than this one,positive,1,Mixed App Performance,BOA
"Worst app. It is wise to invest money and you can make it like CBE app. Even the incon has no image. My app has better UI than yours. So, please invest more and hire professional developer companies and improve it.",positive,1,Mixed App Performance,BOA
mal,neutral,1,Mixed App Performance,BOA
It is not working at all,neutral,1,Mixed App Performance,BOA
Excellent,positive,1,Mixed App Performance,BOA
The poorest mobile banking survice ever. Only error reports frequently,negative,1,Mixed App Performance,BOA
😞😞😞😞,negative,1,Mixed App Performance,BOA
😡😡😡😡😡😡😡,neutral,1,Mixed App Performance,BOA
The worst banking app,negative,1,Mixed App Performance,BOA
The app is constantly crashing and freezing when to send to BOA customers' accounts.,negative,1,Mixed App Performance,BOA
No work app,negative,1,Mixed App Performance,BOA
Is ok but stop sundenly,negative,1,Mixed App Performance,BOA
🤷🤷🤷,neutral,1,Mixed App Performance,BOA
experienced,neutral,1,Mixed App Performance,BOA
Very poor app. Its Always cresh and not compatible,negative,1,Mixed App Performance,BOA
"It's not functional at all. It keeps saying ""error"". Unable to activate.",negative,1,Mixed App Performance,BOA
I can't believe that Abyssinia develop this kind of trash app it have a lot of issues 👎👎👎,neutral,1,Mixed App Performance,BOA
The new app is very good,positive,1,Mixed App Performance,BOA
It's very good but sometimes isn't work probably,positive,1,Mixed App Performance,BOA
It doesn't work,neutral,1,Mixed App Performance,BOA
ጭራሽ አይነፋም,neutral,1,Mixed App Performance,BOA
"This is the most stupid app I've seen, why would I turn off developer mode just because you can't make your app secure, this clearly indicates the app has very poor implementation and unskilled developers.. There are a lot of people who need developer option for different reasons. Please for the sake of the bank, fix this thing... Even the most secure international banking apps don't require it. Not to mention the lag and crashes",neutral,1,Mixed App Performance,BOA
The worst mobile banking app,negative,1,Mixed App Performance,BOA
It is not fast,neutral,1,Mixed App Performance,BOA
Useless,negative,1,Mixed App Performance,BOA
The app keeps crashing it stops responding while I'm using it or trying to open the app. Now I have to go to the bank in person to do any banking activities. In short it is the worst mobile banking system in Ethiopia,negative,1,Mixed App Performance,BOA
Too late!,neutral,1,Mixed App Performance,BOA
No work,negative,1,Mixed App Performance,BOA
"Pretty good for a banking app, it still lacks some things with in the ui and with the speed of the app but overall it's a good application. Thank you 5/5👍🏻",positive,1,Mixed App Performance,BOA
After update it doesn't work well,negative,1,Mixed App Performance,BOA
Error occurred try again for 5 days tele birr user not found ለራሴ አዝዤ,negative,1,Mixed App Performance,BOA
Good but Very slow.,positive,1,Mixed App Performance,BOA
Very good app,positive,1,Mixed App Performance,BOA
"It is so bad apps ,it doesn't work",negative,3,App Functionality Issues,BOA
"From now on I will never going to use this app,It is a trash app.No one care about this app from bank I will rate them 0/5.",positive,1,Mixed App Performance,BOA
It usually crashes and unable to process also it request to off the developer options,neutral,1,Mixed App Performance,BOA
Miliyone.,neutral,1,Mixed App Performance,BOA
Workneh girmamo,neutral,1,Mixed App Performance,BOA
🙏🙏🙏,neutral,1,Mixed App Performance,BOA
"I can't believe in this day and age, one of the major banks of the country can't seem to understand that having a working mobile payment option is a **MUST** to survive. I have decided to move my accounts to CBE and Awash because of this. Can't be bothered with this useless app.",negative,1,Mixed App Performance,BOA
Is it even working these days? Please check it.,positive,1,Mixed App Performance,BOA
"The app is essentially unusable, it asks to disable developer mode even when it is already disabled and crashes, sometimes it only works with wifi and sometimes only with data, or it crashes just because.......",neutral,1,Mixed App Performance,BOA
Please make it functional.,positive,1,Mixed App Performance,BOA
its best app but its don't working in poor connection area so,positive,1,Mixed App Performance,BOA
Please Recover thank you,positive,1,Mixed App Performance,BOA
This app doesn't work,neutral,1,Mixed App Performance,BOA
"the app used to run fine, but now it takes like forever to even open the main dashboard and sometimes it just crashes on its own. you guys gotta step it up. we need this app to be way faster",positive,1,Mixed App Performance,BOA
the underrated app I've ever seen and ur banking system is Soo Idiocracy,neutral,1,Mixed App Performance,BOA
It demands to disable developer option.,neutral,1,Mixed App Performance,BOA
"It's been two months now, I cannot do any transaction using this app. It's really disappointing. I am using bank of Abyssinia currently because it's the nearest bank to my work place. The bank is turning to the worst bank in the country day by day. They always respond to customers that they are updating their system all year long, I think that's what they train their customer service operators to do.",negative,1,Mixed App Performance,BOA
Open Open service,neutral,1,Mixed App Performance,BOA
አፑ በጣም አስቸጋሪ ሆኗል,neutral,1,Mixed App Performance,BOA
Its not working.,neutral,1,Mixed App Performance,BOA
"Riddled with crashes, cant use it anymore. Very frustrating!",negative,1,Mixed App Performance,BOA
Always error occured. The worst app ever,negative,1,Mixed App Performance,BOA
ከዚህ ትልቅ ባንክ የማይጠበቅ ድንዝዝዝዝ ያለ App.... ዛግግግ ነው ያረገኝ 😡😡😡,neutral,1,Mixed App Performance,BOA
Excellent service,positive,1,Mixed App Performance,BOA
It's not convenient,neutral,1,Mixed App Performance,BOA
meskelu Metku,neutral,1,Mixed App Performance,BOA
Verry nice,positive,1,Mixed App Performance,BOA
It has become the most unreliable mibile banking app ever.,neutral,1,Mixed App Performance,BOA
"አኘልኬሽኑ በሁሉም ነገር ጥሩ ነዉ,ነገር ግን Network በጣም ነዉ እሚያስቸገረው",neutral,1,Mixed App Performance,BOA
The poorest mobile banking I have seen in the industry. Is not stable to login and post transactions. Is not attractive. Error reports frequently.,negative,1,Mixed App Performance,BOA
👍👍👍,neutral,1,Mixed App Performance,BOA
Really Bank,neutral,1,Mixed App Performance,BOA
I like the the bank of Abyssinia is the best first bank of Ethiopia,positive,1,Mixed App Performance,BOA
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",positive,0,Positive App Experience,CBE
what is this app problem???,negative,2,Convenience & Excellence,CBE
the app is proactive and a good connections.,positive,2,Convenience & Excellence,CBE
I cannot send to cbebirr app. through this app.,neutral,2,Convenience & Excellence,CBE
good,positive,2,Convenience & Excellence,CBE
not functional,neutral,0,Positive App Experience,CBE
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",positive,2,Convenience & Excellence,CBE
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,neutral,0,Positive App Experience,CBE
best,positive,0,Positive App Experience,CBE
bezabih,neutral,0,Positive App Experience,CBE
Best Mobile Banking app ever,positive,2,Convenience & Excellence,CBE
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,positive,0,Positive App Experience,CBE
Good,positive,2,Convenience & Excellence,CBE
very niec,neutral,0,Positive App Experience,CBE
best app of finance,positive,2,Convenience & Excellence,CBE
yetemeta,neutral,0,Positive App Experience,CBE
Engida Kebede Fetera,neutral,0,Positive App Experience,CBE
it is not safety,negative,0,Positive App Experience,CBE
NICE bank,positive,0,Positive App Experience,CBE
it is like a childish app make it better the worst I have ever seen,negative,0,Positive App Experience,CBE
"It's a problem solver application, go ahead CBE, I love so much.",positive,1,Developer & Application Praise,CBE
It's good but try to make it facilitate for your client,positive,2,Convenience & Excellence,CBE
best app,positive,2,Convenience & Excellence,CBE
Awesome bank,positive,0,Positive App Experience,CBE
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,positive,0,Positive App Experience,CBE
Masha alla,neutral,0,Positive App Experience,CBE
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",negative,0,Positive App Experience,CBE
better service,positive,0,Positive App Experience,CBE
"it,s good app and time manager 👍",positive,2,Convenience & Excellence,CBE
malkaamuu Jiidhaa Namoo,neutral,0,Positive App Experience,CBE
lower system everything,negative,0,Positive App Experience,CBE
Nice!,positive,0,Positive App Experience,CBE
Keep it up My CBE,neutral,3,Customer Satisfaction & Gratitude,CBE
yes good,positive,2,Convenience & Excellence,CBE
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",negative,0,Positive App Experience,CBE
i like everything of this app,positive,2,Convenience & Excellence,CBE
🤬🤬🤬🤬 network 🛜,neutral,0,Positive App Experience,CBE
Best,positive,0,Positive App Experience,CBE
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,positive,1,Developer & Application Praise,CBE
nice,positive,0,Positive App Experience,CBE
good job,positive,2,Convenience & Excellence,CBE
it's awesome!!,positive,0,Positive App Experience,CBE
thankyou every one,neutral,0,Positive App Experience,CBE
Ronaldo 🇵🇹 🥇,positive,0,Positive App Experience,CBE
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",positive,0,Positive App Experience,CBE
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",negative,0,Positive App Experience,CBE
mortuary app,neutral,2,Convenience & Excellence,CBE
it is smart app but it has stoped after some period of time on my device with out any reason .,positive,0,Positive App Experience,CBE
amazing app I am used this app for one year,positive,2,Convenience & Excellence,CBE
good app,positive,2,Convenience & Excellence,CBE
i love it 😍😘,positive,0,Positive App Experience,CBE
It makes life easy!👌,positive,0,Positive App Experience,CBE
its not fast,neutral,0,Positive App Experience,CBE
wow,positive,0,Positive App Experience,CBE
it is sooo good,positive,2,Convenience & Excellence,CBE
excellent,positive,0,Positive App Experience,CBE
Fantastic,positive,0,Positive App Experience,CBE
accessible to using,neutral,0,Positive App Experience,CBE
I like it,positive,0,Positive App Experience,CBE
why you change default network?,neutral,0,Positive App Experience,CBE
very nice 👍,positive,0,Positive App Experience,CBE
nice fast app,positive,0,Positive App Experience,CBE
how to I get my money,neutral,0,Positive App Experience,CBE
"Very bad, can't even load they need to improve their services.",negative,0,Positive App Experience,CBE
"Very good app, but please make it reliable . it crashes sometimes .",positive,2,Convenience & Excellence,CBE
very busy I don't know why... I prefer 889,neutral,0,Positive App Experience,CBE
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",neutral,0,Positive App Experience,CBE
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,negative,1,Developer & Application Praise,CBE
hojii bonsaadha,neutral,0,Positive App Experience,CBE
user-friendly apps.because this app is easy.,positive,0,Positive App Experience,CBE
Awosome!!!,neutral,0,Positive App Experience,CBE
"Very good app,",positive,2,Convenience & Excellence,CBE
sync problem may 22 2025 but the date stack on may 8 2025 help pls,positive,0,Positive App Experience,CBE
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,positive,0,Positive App Experience,CBE
I hate this app 😒,negative,2,Convenience & Excellence,CBE
trustful,positive,0,Positive App Experience,CBE
I like,positive,0,Positive App Experience,CBE
update issue,neutral,0,Positive App Experience,CBE
its not working over safari network,neutral,0,Positive App Experience,CBE
oldie,neutral,0,Positive App Experience,CBE
it doesn't work,neutral,0,Positive App Experience,CBE
"This app is good, and we are using it well",positive,2,Convenience & Excellence,CBE
very nice 👌 app for android phone,positive,2,Convenience & Excellence,CBE
Yes Yes,positive,0,Positive App Experience,CBE
በጣም ከርፋፋ,neutral,0,Positive App Experience,CBE
easy to use helpful in my life,positive,0,Positive App Experience,CBE
good 👍,positive,2,Convenience & Excellence,CBE
the best mobile banking app,positive,2,Convenience & Excellence,CBE
"this app is very useful app,it saves time,and it is secure",positive,2,Convenience & Excellence,CBE
it's a good application 👍,positive,1,Developer & Application Praise,CBE
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,negative,0,Positive App Experience,CBE
poor service,negative,0,Positive App Experience,CBE
amazing,positive,0,Positive App Experience,CBE
it is reliable and easy to use.,positive,0,Positive App Experience,CBE
the most annoying mobile banking app I've ever seen,negative,0,Positive App Experience,CBE
Cbe mobile banking,neutral,3,Customer Satisfaction & Gratitude,CBE
"i can't make Screenshout in this app, please made modification",positive,2,Convenience & Excellence,CBE
Best app I loved it,positive,2,Convenience & Excellence,CBE
nice app,positive,2,Convenience & Excellence,CBE
Amazing applicatiom sometimes doesnt work!,positive,0,Positive App Experience,CBE
well satisfied with this beautiful app,positive,2,Convenience & Excellence,CBE
very good,positive,2,Convenience & Excellence,CBE
best app.,positive,2,Convenience & Excellence,CBE
"not working,why???",neutral,0,Positive App Experience,CBE
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,positive,0,Positive App Experience,CBE
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,negative,1,Developer & Application Praise,CBE
woxe harimo ribiso,neutral,0,Positive App Experience,CBE
"Good ,easy to use",positive,2,Convenience & Excellence,CBE
Good app,positive,2,Convenience & Excellence,CBE
Good job👍,positive,2,Convenience & Excellence,CBE
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",positive,0,Positive App Experience,CBE
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,positive,1,Developer & Application Praise,CBE
customer service is bad nothing is good about this bank,negative,0,Positive App Experience,CBE
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,positive,0,Positive App Experience,CBE
fast and simple easy to use 👌,positive,0,Positive App Experience,CBE
The fastest transferring app I ever had its so reliable,neutral,0,Positive App Experience,CBE
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",neutral,0,Positive App Experience,CBE
it's easy and fast,positive,0,Positive App Experience,CBE
This app don't have self activation only you have to look near cbe branch that's disgusting,negative,3,Customer Satisfaction & Gratitude,CBE
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,positive,3,Customer Satisfaction & Gratitude,CBE
wow best application ever,positive,1,Developer & Application Praise,CBE
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",negative,1,Developer & Application Praise,CBE
the pride of Ethiopian bank 🏦,positive,0,Positive App Experience,CBE
why the app telling me to turn of developer options please fix it.,positive,0,Positive App Experience,CBE
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,positive,0,Positive App Experience,CBE
amazing apps,positive,0,Positive App Experience,CBE
All service of Mobile Banking,neutral,0,Positive App Experience,CBE
needs improvement,positive,0,Positive App Experience,CBE
i miss the old one i couldn't send my mony to other bank..,negative,0,Positive App Experience,CBE
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,positive,2,Convenience & Excellence,CBE
good but these week not oky,positive,2,Convenience & Excellence,CBE
well designed! Fixing bugs & two step verification with biometric... simply it's great!,positive,0,Positive App Experience,CBE
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,positive,0,Positive App Experience,CBE
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",positive,0,Positive App Experience,CBE
CBE mobilr bankg,neutral,3,Customer Satisfaction & Gratitude,CBE
verygood,neutral,0,Positive App Experience,CBE
ممتاز جدا,neutral,0,Positive App Experience,CBE
it's very low quality application,negative,1,Developer & Application Praise,CBE
Very Amazing Apps,positive,0,Positive App Experience,CBE
wow simple life,positive,0,Positive App Experience,CBE
it's nice,positive,0,Positive App Experience,CBE
Why stacked sometimes,neutral,0,Positive App Experience,CBE
okay 👍 but sometimes busy,positive,0,Positive App Experience,CBE
the worst commercial company that fails to do even the most normal things again and and again.,negative,0,Positive App Experience,CBE
Very good app. but disappointed by general cessation of system.,negative,2,Convenience & Excellence,CBE
Good and fast,positive,2,Convenience & Excellence,CBE
Unreliable!,neutral,0,Positive App Experience,CBE
Best the best fast,positive,0,Positive App Experience,CBE
happy,positive,0,Positive App Experience,CBE
fast and reliable,neutral,0,Positive App Experience,CBE
network errorrrrrr,neutral,0,Positive App Experience,CBE
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,negative,0,Positive App Experience,CBE
its good and simple to use,positive,2,Convenience & Excellence,CBE
worest app like that bank for security and network access,positive,0,Positive App Experience,CBE
it's the best app i,positive,2,Convenience & Excellence,CBE
not bad not good,positive,2,Convenience & Excellence,CBE
its very nice,positive,0,Positive App Experience,CBE
do not work this week,neutral,0,Positive App Experience,CBE
It crashes frequently,neutral,0,Positive App Experience,CBE
the best,positive,0,Positive App Experience,CBE
"I can simply describe this app as ""Making all your work easier"".",positive,0,Positive App Experience,CBE
goid,neutral,0,Positive App Experience,CBE
best appearance,positive,0,Positive App Experience,CBE
it's very good 👍 app,positive,2,Convenience & Excellence,CBE
I need support you,positive,0,Positive App Experience,CBE
the worst Mobile banking i have ever seen in my life,negative,0,Positive App Experience,CBE
super,positive,0,Positive App Experience,CBE
ጠጀጨገጀ።ጀገ,neutral,0,Positive App Experience,CBE
i like the app,positive,2,Convenience & Excellence,CBE
the Best,positive,0,Positive App Experience,CBE
to other bank is bad,negative,0,Positive App Experience,CBE
tank's,neutral,0,Positive App Experience,CBE
its good but add more features such like. bank statement showing,positive,0,Positive App Experience,CBE
it is so nice,positive,0,Positive App Experience,CBE
Very Good👍,positive,2,Convenience & Excellence,CBE
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",negative,0,Positive App Experience,CBE
"wow, amazing app",positive,0,Positive App Experience,CBE
use ful,neutral,0,Positive App Experience,CBE
Great app,positive,2,Convenience & Excellence,CBE
well app,positive,2,Convenience & Excellence,CBE
Actually it is inactive,neutral,0,Positive App Experience,CBE
"slow, only one account is used",neutral,0,Positive App Experience,CBE
always CBE is the leading Commercial Bank💪💪💪,neutral,3,Customer Satisfaction & Gratitude,CBE
i like it,positive,0,Positive App Experience,CBE
why removing screenshot feature why?,neutral,0,Positive App Experience,CBE
nice apps where network is good in connection,positive,0,Positive App Experience,CBE
Thank you!!!,positive,0,Positive App Experience,CBE
i can't take screenshot,neutral,0,Positive App Experience,CBE
"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",positive,0,Positive App Experience,CBE
perfectly special,positive,0,Positive App Experience,CBE
Fast and Reliable,neutral,0,Positive App Experience,CBE
The best application I have ever seen in Ethiopia banking industry.,positive,1,Developer & Application Praise,CBE
great app!!!,positive,2,Convenience & Excellence,CBE
because sometimes it doesn't working it load too much,neutral,0,Positive App Experience,CBE
"Absolutely the best app! It works flawlessly, anytime and anywhere.",positive,0,Positive App Experience,CBE
very nice app ever!!!,positive,2,Convenience & Excellence,CBE
the best app,positive,2,Convenience & Excellence,CBE
Biometric security for mobile banking is not available,positive,0,Positive App Experience,CBE
great,positive,0,Positive App Experience,CBE
Nice service,positive,0,Positive App Experience,CBE
great app,positive,2,Convenience & Excellence,CBE
it's special apps,positive,0,Positive App Experience,CBE
"In the updated version of the app, it takes more time to download the receipt.",neutral,0,Positive App Experience,CBE
ለምንድነው ትራንዛክሽን ትንሽ ብቻ የሚያሳየው ?,neutral,0,Positive App Experience,CBE
Good 🔥,positive,2,Convenience & Excellence,CBE
very interesting app i am using every day fantastic,positive,0,Positive App Experience,CBE
lebaa bank,neutral,0,Positive App Experience,CBE
Can't scan/recognize other banks' Interoperable QR Codes,neutral,0,Positive App Experience,CBE
grateful app,positive,2,Convenience & Excellence,CBE
100% ❤️❤️❤️🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,neutral,0,Positive App Experience,CBE
everthing wellbeok,neutral,0,Positive App Experience,CBE
"""This mobile banking app is fast and user-friendly, but the only issue I encountered is that I can't access my bank statement within the app. I kindly request that this feature be added, similar to what is offered by other private bank mobile banking apps.",positive,0,Positive App Experience,CBE
nice app 👌,positive,2,Convenience & Excellence,CBE
why did this app is not screenshot,neutral,0,Positive App Experience,CBE
it so good app,positive,2,Convenience & Excellence,CBE
جميل,neutral,0,Positive App Experience,CBE
"less network, specially to make fee for utility purpose",neutral,0,Positive App Experience,CBE
simply for used,neutral,0,Positive App Experience,CBE
wow keep up,positive,0,Positive App Experience,CBE
its great app but when updating we can't take screen shot please try to fix it,positive,0,Positive App Experience,CBE
good one,positive,2,Convenience & Excellence,CBE
everything is easy thank you cebe,positive,0,Positive App Experience,CBE
ፈጣን ቀልጣፋ,neutral,0,Positive App Experience,CBE
ጎበዝ,neutral,0,Positive App Experience,CBE
but this app says can't sync,neutral,0,Positive App Experience,CBE
waw,neutral,0,Positive App Experience,CBE
to slow,neutral,0,Positive App Experience,CBE
work on screen shot system,neutral,0,Positive App Experience,CBE
very very nice aplication,positive,0,Positive App Experience,CBE
wonder full and it is easy to use,positive,0,Positive App Experience,CBE
easy and reliable,positive,0,Positive App Experience,CBE
it is Very Useful app 👍,positive,2,Convenience & Excellence,CBE
perfect app,positive,0,Positive App Experience,CBE
I like it.,positive,0,Positive App Experience,CBE
bugs,neutral,0,Positive App Experience,CBE
commerial Bank,neutral,0,Positive App Experience,CBE
Genat biru,neutral,0,Positive App Experience,CBE
it is good but it doesn't allow screen shot,neutral,0,Positive App Experience,CBE
the best one,positive,0,Positive App Experience,CBE
You need to copy many things from other bank apps like Amole(Dashen),positive,0,Positive App Experience,CBE
bring back the screenshot feature.,neutral,0,Positive App Experience,CBE
Good!👍,positive,2,Convenience & Excellence,CBE
best app to experience him that to smooth transaction among the customers,positive,0,Positive App Experience,CBE
nice app suitable to use it. the only weak side is it need data connections and hoping will be fixed to offline i gave 4 rate,positive,0,Positive App Experience,CBE
easy to use,positive,0,Positive App Experience,CBE
"Good job to the CBE team on this mobile app! It's designed in a way that's simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. It's a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.",positive,1,Developer & Application Praise,CBE
ለኔ በጣም ምርጥ ነው ግን screenshot ማረግ ቢቻል ምርጥ ነበር,neutral,0,Positive App Experience,CBE
before it was smooth and good. this time after the new update in 2025 i can not make screenshot of my recite. even the downlod button is very delayed in putting my recite in my gallery for simple proof. please fix this i am unable to show proof of payment to my clients. thankyou.,positive,0,Positive App Experience,CBE
cool ❤,positive,0,Positive App Experience,CBE
Best app,positive,2,Convenience & Excellence,CBE
best banking App,positive,2,Convenience & Excellence,CBE
satisfied,positive,0,Positive App Experience,CBE
this app is very necessary app many people found it,neutral,2,Convenience & Excellence,CBE
cbe very active Bank I'm using CBE app very very satisfaction,positive,3,Customer Satisfaction & Gratitude,CBE
It made life alot easier. I cant even imagine having to make all those transactions in person. So this app was crucial for me. Very good app. well done.,positive,2,Convenience & Excellence,CBE
perfect,positive,0,Positive App Experience,CBE
thankyou,neutral,0,Positive App Experience,CBE
I Like it,positive,0,Positive App Experience,CBE
"I don't understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. This goes out to the dev, I hope your life is filled with inconveniences.",positive,0,Positive App Experience,CBE
smart app,positive,2,Convenience & Excellence,CBE
isin ga'a,neutral,0,Positive App Experience,CBE
it's great,positive,0,Positive App Experience,CBE
very good app and stars faction with work,positive,2,Convenience & Excellence,CBE
It is excelent,neutral,0,Positive App Experience,CBE
Smart,positive,0,Positive App Experience,CBE
በየወሩ አፕደት እየጠየቀኝ ነው ለነገሩ ብር ስሌለኝ ይሆናል እና ምን ለማለት ፈልገ መሰላቹ ወላህ ቼግሮኛል 🥺🥺🥺,neutral,0,Positive App Experience,CBE
very interesting app,positive,2,Convenience & Excellence,CBE
wow.......cbe.....keep it up.....!!!!!!,neutral,3,Customer Satisfaction & Gratitude,CBE
ጊዜን ቆጣቢ እና ህይወትን ቀለል ከሚያደርጉ ኢትዬጲያ ካሉ ፋይናንስ አፕልኬሽኖች ሁሉ ይሄ ይለያል,neutral,0,Positive App Experience,CBE
Excellent🙏app,positive,2,Convenience & Excellence,CBE
the most useful,positive,0,Positive App Experience,CBE
I am more satisfied in this app . More sure you have to secure.,positive,0,Positive App Experience,CBE
Easy to use,positive,0,Positive App Experience,CBE
"very good, but sometimes NUR CBE comes without my consent. even if I choose locked, it appears",neutral,3,Customer Satisfaction & Gratitude,CBE
Excellent !!!,positive,0,Positive App Experience,CBE
always we relay on,neutral,0,Positive App Experience,CBE
I'm lucky to have this🙏 thank you CBE.,positive,3,Customer Satisfaction & Gratitude,CBE
it's need more improvement like Tellbirr.,positive,0,Positive App Experience,CBE
goode app,neutral,2,Convenience & Excellence,CBE
a very nice app.👍👍👍,positive,2,Convenience & Excellence,CBE
safe easy & fast,positive,0,Positive App Experience,CBE
it's good app,positive,2,Convenience & Excellence,CBE
It is veary useful app but screen shout was impossible .solve this problem,negative,0,Positive App Experience,CBE
ጥሩ ነው,neutral,0,Positive App Experience,CBE
እጅግ በጣም ጥሩ አፕ,neutral,0,Positive App Experience,CBE
በጣም ሃሪፍ ነው ግን ብር በሚተላለፍበት ወቅት ተቀንሷል ይላል እላፊ መልክቱ ይደርሳል ግን አይቀንስም,neutral,0,Positive App Experience,CBE
suitable app,neutral,2,Convenience & Excellence,CBE
Dear cbe this app is not comparable with 21century and pls try to solve it.💀💀💀,positive,3,Customer Satisfaction & Gratitude,CBE
best transaction method of financial,positive,0,Positive App Experience,CBE
#CBE is Now going to on the right Pathway/track/!! Thank you CBE one step ahead on payment platform app!!,positive,3,Customer Satisfaction & Gratitude,CBE
It literarily don't work at all,neutral,0,Positive App Experience,CBE
good give us plus,positive,2,Convenience & Excellence,CBE
"Very good application. However, I have one functionality recommendation. What if you let the app transfer money to any telebirr account as for MPESA? By the way, I am not the only one to ask this. Thank you!",positive,1,Developer & Application Praise,CBE
before update it was able to screenshot while after update I can't able to screenshot the transfere details,neutral,0,Positive App Experience,CBE
Tnc Cbe,neutral,3,Customer Satisfaction & Gratitude,CBE
it is good app. But you have integrate cbe with cbe birr. to allow cardless withdrawal directly from our accout!,positive,3,Customer Satisfaction & Gratitude,CBE
great apps,positive,0,Positive App Experience,CBE
Excellent,positive,0,Positive App Experience,CBE
